2014-08-02 12:50:26 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 11]
2014-08-02 12:50:26 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 16]
2014-08-02 12:50:26 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 18]
2014-08-02 12:50:27 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 11]
2014-08-02 12:50:27 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 16]
2014-08-02 12:50:27 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 18]
2014-08-02 12:52:21 Debug: Notice (8): Undefined variable: shopingcart in [E:\xampp\htdocs\freewebmobile.mobi\app\views\eshopphuc\addshopingcart.ctp, line 27]
2014-08-02 18:19:17 Debug: Notice (8): Undefined variable: shopingcart in [E:\xampp\htdocs\freewebmobile.mobi\app\views\eshopphuc\addshopingcart.ctp, line 27]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 3549]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 11]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 16]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 18]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 11]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 16]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 18]
